id;start_date;end_date;language
1;2020-10-16T07:12:28;2020-10-16T05:02:43;SPANISH
2;2020-10-15T12:02:39;2020-10-16T07:07:04;SPANISH
3;2020-10-16T02:57:58;2020-10-15T13:32:07;FRENCH
4;2020-10-15T18:15:29;2020-10-16T05:46:55;FRENCH
5;2020-10-16T03:45:47;2020-10-16T08:32:46;FRENCH
6;2020-10-15T21:38:08;2020-10-16T09:46:22;FRENCH
7;2020-10-15T23:23:28;2020-10-15T17:14:19;FRENCH
8;2020-10-15T22:19:41;2020-10-16T08:35:49;SPANISH
9;2020-10-15T21:00:50;2020-10-15T17:42:13;SPANISH
10;2020-10-16T05:12:54;2020-10-15T15:47:24;SPANISH
